Country,50kwh,100kwh,250kwh,500kwh,1000kwh
Bangladesh,847.9,1695.8,4239.49,8478.98,16957.96
Guatemala,756.63,1513.25,3783.13,7566.26,15132.53
Indonesia,1029.12,2058.24,5145.59,10291.18,20582.36
Japan,608.48,1216.95,3042.38,6084.76,12169.52
Armenia,576.73,1153.46,2883.65,5767.29,11534.59
South Africa,1257.96,2515.92,6289.79,12579.58,25159.15
El Salvador,896.84,1793.68,4484.2,8968.4,17936.81
Philippines,682.55,1365.1,3412.76,6825.51,13651.02
Cyprus,781.76,1563.52,3908.8,7817.59,15635.18
Lebanon,859.8,1719.61,4299.01,8598.03,17196.06
Switzerland,25.13,50.27,125.66,251.33,502.65
Morocco,855.83,1711.67,4279.17,8558.35,17116.69
United Arab Emirates,894.19,1788.39,4470.97,8941.95,17883.9
Mali,812.18,1624.37,4060.91,8121.83,16243.66
Nigeria,757.95,1515.9,3789.75,7579.49,15158.99
Senegal,857.16,1714.31,4285.79,8571.57,17143.15
Viet Nam,797.63,1595.26,3988.16,7976.32,15952.65
France,97.89,195.77,489.43,978.85,1957.7
Belgium,203.71,407.41,1018.54,2037.07,4074.14
Bulgaria,601.86,1203.72,3009.31,6018.62,12037.24
Costa Rica,340.88,681.76,1704.39,3408.79,6817.57
Guyana,1253.99,2507.98,6269.95,12539.89,25079.79
Iran (Islamic Republic of),890.23,1780.45,4451.13,8902.27,17804.53
Jordan,760.59,1521.19,3802.97,7605.95,15211.9
Poland,900.81,1801.62,4504.04,9008.09,18016.18
Estonia,916.68,1833.36,4583.41,9166.82,18333.64
South Korea,826.73,1653.47,4133.67,8267.33,16534.67
Libya,1050.28,2100.56,5251.41,10502.82,21005.64
Czechia,538.37,1076.74,2691.84,5383.69,10767.38
Malta,460.33,920.65,2301.63,4603.25,9206.5
Thailand,724.88,1449.76,3624.4,7248.8,14497.6
Mozambique,1275.15,2550.31,6375.77,12751.54,25503.07
United Kingdom,273.81,547.63,1369.07,2738.14,5476.28
North Korea,1206.37,2412.74,6031.85,12063.69,24127.39
Serbia,1453.73,2907.46,7268.64,14537.28,29074.56
Zambia,1275.15,2550.31,6375.77,12751.54,25503.07
Georgia,531.75,1063.51,2658.77,5317.55,10635.1
Belize,201.06,402.12,1005.31,2010.62,4021.23
Burkina Faso,623.03,1246.05,3115.13,6230.26,12460.53
Honduras,871.71,1743.42,4358.54,8717.08,17434.16
Ethiopia,0.0,0.0,0.0,0.0,0.0
Kenya,771.18,1542.35,3855.88,7711.77,15423.54
Ireland,403.45,806.89,2017.23,4034.46,8068.92
Lithuania,145.51,291.01,727.53,1455.05,2910.1
Portugal,226.19,452.39,1130.97,2261.94,4523.89
Spain,235.45,470.91,1177.27,2354.54,4709.07
Denmark,154.76,309.53,773.82,1547.65,3095.29
Mauritius,1283.09,2566.18,6415.45,12830.9,25661.81
Namibia,1216.95,2433.9,6084.76,12169.52,24339.03
Pakistan,723.56,1447.11,3617.79,7235.57,14471.14
Sierra Leone,531.75,1063.51,2658.77,5317.55,10635.1
